h,K,repeat,method,err,score
200,0,32,naive-Nuclear,74.16821880300657,0.0010345422476413
200,0,32,A-Nuclear-Nuclear,71.40672768995336,1.058773406217814
200,0,32,Nuclear-Nuclear,72.40672768995336,1.058773406217814
200,0,32,Pooled-Nuclear-Nuclear,95.7761523315292,1.058773406217814
200,0,33,naive-Nuclear,44.34400135020623,0.0016359757013393
200,0,33,A-Nuclear-Nuclear,50.99533036435992,0.8275357497481312
200,0,33,Nuclear-Nuclear,51.99533036435992,0.8275357497481312
200,0,33,Pooled-Nuclear-Nuclear,63.1179166105797,0.8275357497481312
200,0,34,naive-Nuclear,71.48398017115834,0.0015259943839416
200,0,34,A-Nuclear-Nuclear,68.759205865599,1.077962685479518
200,0,34,Nuclear-Nuclear,69.759205865599,1.077962685479518
200,0,34,Pooled-Nuclear-Nuclear,91.5401174125622,1.077962685479518
200,0,35,naive-Nuclear,57.61426481547908,0.0011958248240687
200,0,35,A-Nuclear-Nuclear,60.03846806868958,0.9403465260188594
200,0,35,Nuclear-Nuclear,61.03846806868958,0.9403465260188594
200,0,35,Pooled-Nuclear-Nuclear,77.58693693750712,0.9403465260188594
200,0,36,naive-Nuclear,85.71196924542463,0.0018040248687871
200,0,36,A-Nuclear-Nuclear,74.01029906055797,1.2103166448441152
200,0,36,Nuclear-Nuclear,75.01029906055797,1.2103166448441152
200,0,36,Pooled-Nuclear-Nuclear,99.94186652449656,1.2103166448441152
200,0,37,naive-Nuclear,79.29508697668882,0.0011443354723895
200,0,37,A-Nuclear-Nuclear,72.15101771946158,1.1315979107947165
200,0,37,Nuclear-Nuclear,73.15101771946158,1.1315979107947165
200,0,37,Pooled-Nuclear-Nuclear,96.96701637874236,1.1315979107947165
200,0,38,naive-Nuclear,41.98626974776701,0.0009934915152454
200,0,38,A-Nuclear-Nuclear,48.83502019174144,0.7129259092605958
200,0,38,Nuclear-Nuclear,49.83502019174144,0.7129259092605958
200,0,38,Pooled-Nuclear-Nuclear,59.66142033439013,0.7129259092605958
200,0,39,naive-Nuclear,67.76912772513516,0.0013461751404711
200,0,39,A-Nuclear-Nuclear,65.2396298701509,1.115882910945306
200,0,39,Nuclear-Nuclear,66.23962987015092,1.115882910945306
200,0,39,Pooled-Nuclear-Nuclear,85.9087958198453,1.115882910945306
200,0,40,naive-Nuclear,102.13664583633732,0.0014768396625599
200,0,40,A-Nuclear-Nuclear,89.09489332636085,1.198184788536206
200,0,40,Nuclear-Nuclear,90.09489332636085,1.198184788536206
200,0,40,Pooled-Nuclear-Nuclear,124.07721734978122,1.198184788536206
200,0,41,naive-Nuclear,72.31136521261166,0.0011265363700575
200,0,41,A-Nuclear-Nuclear,69.55046050868187,0.9210560783903132
200,0,41,Nuclear-Nuclear,70.55046050868187,0.9210560783903132
200,0,41,Pooled-Nuclear-Nuclear,92.8061248414948,0.9210560783903132
200,0,42,naive-Nuclear,56.10010837011289,0.0015369972571799
200,0,42,A-Nuclear-Nuclear,59.31668546984953,0.986483789367126
200,0,42,Nuclear-Nuclear,60.31668546984953,0.986483789367126
200,0,42,Pooled-Nuclear-Nuclear,76.43208477936304,0.986483789367126
200,0,43,naive-Nuclear,66.1133015627328,0.0012278468645038
200,0,43,A-Nuclear-Nuclear,65.77411343646484,0.9545955926537744
200,0,43,Nuclear-Nuclear,66.77411343646484,0.9545955926537744
200,0,43,Pooled-Nuclear-Nuclear,86.76396952594757,0.9545955926537744
200,0,44,naive-Nuclear,38.72988059996979,0.0010755501153822
200,0,44,A-Nuclear-Nuclear,47.10076887808066,0.7701311038474806
200,0,44,Nuclear-Nuclear,48.10076887808066,0.7701311038474806
200,0,44,Pooled-Nuclear-Nuclear,56.88661823253284,0.7701311038474806
200,0,45,naive-Nuclear,49.05255535460587,0.0009064943382083
200,0,45,A-Nuclear-Nuclear,54.14643385273874,0.8509424695781515
200,0,45,Nuclear-Nuclear,55.14643385273874,0.8509424695781515
200,0,45,Pooled-Nuclear-Nuclear,68.15968219198584,0.8509424695781515
200,0,46,naive-Nuclear,45.30114118498621,0.0008440076518843
200,0,46,A-Nuclear-Nuclear,51.03778871236423,0.7268790329781879
200,0,46,Nuclear-Nuclear,52.03778871236423,0.7268790329781879
200,0,46,Pooled-Nuclear-Nuclear,63.18584996738656,0.7268790329781879
200,0,47,naive-Nuclear,47.131822585153344,0.0009611960133409
200,0,47,A-Nuclear-Nuclear,53.20808175229629,0.9524731708730988
200,0,47,Nuclear-Nuclear,54.20808175229629,0.9524731708730988
200,0,47,Pooled-Nuclear-Nuclear,66.65831883127788,0.9524731708730988
200,0,48,naive-Nuclear,49.72855989638438,0.0010562860357219
200,0,48,A-Nuclear-Nuclear,54.2503339023135,0.7909433321412094
200,0,48,Nuclear-Nuclear,55.2503339023135,0.7909433321412094
200,0,48,Pooled-Nuclear-Nuclear,68.32592227130539,0.7909433321412094
200,0,49,naive-Nuclear,37.96749190158877,0.0007592695952255
200,0,49,A-Nuclear-Nuclear,46.488800802812406,0.7499206624118417
200,0,49,Nuclear-Nuclear,47.488800802812406,0.7499206624118417
200,0,49,Pooled-Nuclear-Nuclear,55.90746931210367,0.7499206624118417
200,0,50,naive-Nuclear,73.61991573618127,0.0010424000149895
200,0,50,A-Nuclear-Nuclear,70.9212197396937,1.0265588900632674
200,0,50,Nuclear-Nuclear,71.9212197396937,1.0265588900632674
200,0,50,Pooled-Nuclear-Nuclear,94.99933961111373,1.0265588900632674
200,0,51,naive-Nuclear,16.1708816442705,0.000984972687234
200,0,51,A-Nuclear-Nuclear,31.802727430711705,0.6234227842724137
200,0,51,Nuclear-Nuclear,32.802727430711705,0.6234227842724137
200,0,51,Pooled-Nuclear-Nuclear,32.40975191674255,0.6234227842724137
200,0,52,naive-Nuclear,73.1886276527112,0.0009981399650884
200,0,52,A-Nuclear-Nuclear,70.49055307684252,0.9728264567251298
200,0,52,Nuclear-Nuclear,71.49055307684252,0.9728264567251298
200,0,52,Pooled-Nuclear-Nuclear,94.31027295055183,0.9728264567251298
200,0,53,naive-Nuclear,32.90675255144515,0.0010132231503144
200,0,53,A-Nuclear-Nuclear,42.7379099635077,0.6533065109554136
200,0,53,Nuclear-Nuclear,43.7379099635077,0.6533065109554136
200,0,53,Pooled-Nuclear-Nuclear,49.906043969216114,0.6533065109554136
200,0,54,naive-Nuclear,74.96497460100474,0.001475939528878
200,0,54,A-Nuclear-Nuclear,62.92575761692146,1.1139350399250885
200,0,54,Nuclear-Nuclear,63.92575761692146,1.1139350399250885
200,0,54,Pooled-Nuclear-Nuclear,82.20660021467819,1.1139350399250885
200,0,55,naive-Nuclear,72.58660815041989,0.0016400601416434
200,0,55,A-Nuclear-Nuclear,66.36277002953284,1.10033091891089
200,0,55,Nuclear-Nuclear,67.36277002953284,1.10033091891089
200,0,55,Pooled-Nuclear-Nuclear,87.70582007485638,1.10033091891089
200,0,56,naive-Nuclear,48.068810767759416,0.0009510669175785
200,0,56,A-Nuclear-Nuclear,53.792635288716085,0.9277202180405796
200,0,56,Nuclear-Nuclear,54.792635288716085,0.9277202180405796
200,0,56,Pooled-Nuclear-Nuclear,67.59360448954959,0.9277202180405796
200,0,57,naive-Nuclear,39.685650728897,0.0012287820668779
200,0,57,A-Nuclear-Nuclear,47.73184971525221,0.7696204080989081
200,0,57,Nuclear-Nuclear,48.73184971525221,0.7696204080989081
200,0,57,Pooled-Nuclear-Nuclear,57.89634757200736,0.7696204080989081
200,0,58,naive-Nuclear,63.42016046081494,0.000905354757583
200,0,58,A-Nuclear-Nuclear,64.02816976913084,0.979277790901712
200,0,58,Nuclear-Nuclear,65.02816976913083,0.979277790901712
200,0,58,Pooled-Nuclear-Nuclear,83.97045965821314,0.979277790901712
