h,K,repeat,method,err,score
200,0,32,Nuclear-Nuclear,54.89706211251739,0.86
200,0,32,Pooled-Nuclear-Nuclear,59.86328944975355,0.86
200,0,33,naive-Nuclear,61.40677213734658,0.995
200,0,33,A-Nuclear-Nuclear,59.06071953049947,0.87
200,0,33,Nuclear-Nuclear,60.83631471779877,0.89
200,0,33,Pooled-Nuclear-Nuclear,65.98972558429068,0.87
200,0,34,naive-Nuclear,72.818388402915,1.0
200,0,34,A-Nuclear-Nuclear,75.06745268201007,0.89
200,0,34,Nuclear-Nuclear,76.00915870947563,0.89
200,0,34,Pooled-Nuclear-Nuclear,85.19780536610344,0.89
200,0,35,naive-Nuclear,58.58148577528412,1.0
200,0,35,A-Nuclear-Nuclear,56.84633326341151,0.97
200,0,35,Nuclear-Nuclear,57.91518204238743,0.975
200,0,35,Pooled-Nuclear-Nuclear,63.33246206378513,0.97
200,0,36,naive-Nuclear,61.9639269410619,1.0
200,0,36,A-Nuclear-Nuclear,60.26001023133362,0.89
200,0,36,Nuclear-Nuclear,61.24007951961177,0.945
200,0,36,Pooled-Nuclear-Nuclear,67.42887442529167,0.89
200,0,37,naive-Nuclear,75.07075403686646,1.0
200,0,37,A-Nuclear-Nuclear,79.9357509647121,0.87
200,0,37,Nuclear-Nuclear,80.92296275750769,0.865
200,0,37,Pooled-Nuclear-Nuclear,91.03976330534587,0.87
200,0,38,naive-Nuclear,59.54068771461408,0.995
200,0,38,A-Nuclear-Nuclear,56.24508877010332,0.855
200,0,38,Nuclear-Nuclear,58.9604321029979,0.935
200,0,38,Pooled-Nuclear-Nuclear,62.61096867181536,0.855
200,0,39,naive-Nuclear,73.83302263419993,1.0
200,0,39,A-Nuclear-Nuclear,76.3292958214781,0.93
200,0,39,Nuclear-Nuclear,77.27100184894364,0.93
200,0,39,Pooled-Nuclear-Nuclear,86.71201713346505,0.93
200,0,40,naive-Nuclear,60.32697475619533,1.0
200,0,40,A-Nuclear-Nuclear,59.27447331736679,0.92
200,0,40,Nuclear-Nuclear,60.41318727477589,0.93
200,0,40,Pooled-Nuclear-Nuclear,66.2462301285315,0.92
200,0,41,naive-Nuclear,64.71225310023176,1.0
200,0,41,A-Nuclear-Nuclear,64.82832912082563,0.875
200,0,41,Nuclear-Nuclear,65.77003514829119,0.875
200,0,41,Pooled-Nuclear-Nuclear,72.91085709268211,0.875
200,0,42,naive-Nuclear,63.22317876311503,1.0
200,0,42,A-Nuclear-Nuclear,63.50583023292958,0.93
200,0,42,Nuclear-Nuclear,64.31885148555874,0.95
200,0,42,Pooled-Nuclear-Nuclear,71.32385842720684,0.93
200,0,43,naive-Nuclear,47.980035956389344,0.99
200,0,43,A-Nuclear-Nuclear,41.79355391508231,0.865
200,0,43,Nuclear-Nuclear,42.735259942547856,0.865
200,0,43,Pooled-Nuclear-Nuclear,45.26912684579011,0.865
200,0,44,naive-Nuclear,78.61900774488946,1.0
200,0,44,A-Nuclear-Nuclear,80.90100973118221,0.88
200,0,44,Nuclear-Nuclear,81.84271575864776,0.88
200,0,44,Pooled-Nuclear-Nuclear,92.19807382511,0.88
200,0,45,naive-Nuclear,68.15995041414244,1.0
200,0,45,A-Nuclear-Nuclear,68.04554540431312,0.93
200,0,45,Nuclear-Nuclear,69.8275980170979,0.885
200,0,45,Pooled-Nuclear-Nuclear,76.77151663286708,0.93
200,0,46,naive-Nuclear,63.7069923435714,1.0
200,0,46,A-Nuclear-Nuclear,65.10729960398982,0.865
200,0,46,Nuclear-Nuclear,67.13190430658648,0.905
200,0,46,Pooled-Nuclear-Nuclear,73.24562167247913,0.865
200,0,47,naive-Nuclear,55.76295535696447,0.995
200,0,47,A-Nuclear-Nuclear,51.54073124991615,0.85
200,0,47,Nuclear-Nuclear,52.67502037810579,0.935
200,0,47,Pooled-Nuclear-Nuclear,56.96573964759072,0.85
